alias,alias,0,コマンドの別名を登録,
groupadd,groupadd,0,グループを追加する,
groupdel,groupdel,0,グループを削除する,
groupmod,groupmod,0,グループの設定を変更,
gunzip,gunzip,0,圧縮ファイルの復元(*.gz),
gzip,gzip,0,ファイルの圧縮／復元(*.gz),
head,head,0,ファイルの先頭部分を表示する,
history,history,0,コマンドの履歴を表示,
hostname,hostname,0,現在のホスト情報を表示,
id,id,0,ユーザー・グループIDを表示する,
jobs,jobs,0,バックグラウンドジョブを表示,
kill,kill,0,プロセスまたはジョブを終了する,
less,less,0,ファイルの内容を１画面ごとに表示する②,
ln,ln,0,ファイルやディレクトリにリンクを設定,
ls,ls,0,ファイル・ディレクトリ情報を表示する,
mail,mail,0,メールを送受信する,
man,man,0,コマンドのマニュアルを表示,
mkdir,mkdir,0,ディレクトリを作成する,
more,more,0,ファイルの内容を１画面ごとに表示する①,
mv,mv,0,ファイルの移動／ファイル名の変更,
netstat,netstat,0,現在のネットワーク状況を表示,
nohup,nohup,0,ログアウト後もプログラムを実行する,
passwd,passwd,0,パスワードを変更する,
ping,ping,0,ホストとの接続確認,
ps,ps,0,実行中のプロセスを表示,
pwd,pwd,0,カレント・ディレクトリの表示,
rcp,rcp,0,リモート・システム間でのファイルコピー,
rm,rm,0,ファイルやディレクトリを削除する,
rmdir,rmdir,0,ディレクトリを削除する,
rsh,rsh,0,リモート・マシンにコマンドを送る,
sed,sed,0,文字を変換する,
shutdown,shutdown,0,システムを停止する,
sleep,sleep,0,一定時間スリープする,
sort,sort,0,ファイル行を並び替える,
split,split,0,ファイルを分割する,
su,su,0,他のユーザーに切り替える,
sync,sync,0,バッファの内容をディスクに書き込む,
tail,tail,0,ファイルの末尾を表示する,
tar,tar,0,アーカイブの作成／復元,
telnet,telnet,0,リモート・マシンにログインする,
touch,touch,0,ファイルのタイムスタンプを更新,
unalias,unalias,0,コマンドの別名を解除,
uncompress,uncompress,0,圧縮ファイルの復元(*.Z),
unzip,unzip,0,圧縮ファイルの復元(*.zip),
useradd,useradd,0,ユーザーを追加する,
userdel,userdel,0,ユーザーを削除する,
usermod,usermod,0,ユーザーの設定を変更,
vi,vi,0,テキストファイルを編集する,
wc,wc,0,テキストファイルの大きさを調べる,
which,which,0,コマンドのパスを表示,
who,who,0,ログインしているユーザーを調べる,
zcat,zcat,0,圧縮ファイルの内容表示,
zip,zip,0,ファイルの圧縮(*.zip),
